iter	RMSE
248	1669.438408
249	1666.229151
250	1663.932257
251	1661.377661
252	1659.294968
253	1656.101736
254	1653.663562
255	1652.013294
256	1650.102293
257	1648.009244
258	1644.972008
259	1642.898248
260	1641.099685
261	1639.320592
262	1637.199399
263	1635.253883
264	1632.925435
265	1631.287818
266	1629.826003
267	1627.95882
268	1625.370555
269	1623.369427
270	1621.339852
271	1619.142526
272	1617.786209
273	1615.493836
274	1613.989299
275	1612.746034
276	1610.746719
277	1608.958303
278	1607.63772
279	1606.325841
280	1604.943295
281	1603.718502
282	1601.795015
283	1599.215871
284	1598.069165
285	1596.47095
286	1594.515605
287	1592.012496
288	1589.551153
289	1587.964597
290	1585.548951
291	1584.005309
292	1582.495008
293	1581.336534
294	1580.312786
295	1579.350407
296	1577.110593
297	1576.203364
298	1573.981498
299	1572.204533
300	1570.79383
301	1569.830913
302	1568.324743
303	1567.018046
304	1565.864158
305	1564.461285
306	1561.926172
307	1560.310769
308	1559.496046
309	1557.307421
310	1556.439683
311	1554.683248
312	1553.018537
313	1551.308384
314	1550.368382
315	1548.347382
316	1547.387836
317	1545.264075
318	1543.162552
319	1542.174775
320	1540.621138
321	1539.815172
322	1537.983712
323	1537.09297
324	1536.28372
325	1535.296828
326	1534.313507
327	1533.261914
328	1531.796831
329	1529.504516
330	1527.77865
331	1526.753664
332	1525.906644
333	1525.08829
334	1524.011865
335	1522.933461
336	1522.24247
337	1520.706395
338	1520.257946
339	1519.540089
340	1517.80549
341	1516.510801
342	1514.804271
343	1514.197293
344	1513.575349
345	1512.731695
346	1511.200769
347	1510.520471
348	1509.413889
349	1507.920707
350	1506.703346
351	1505.740966
352	1504.053219
353	1502.790726
354	1502.205672
355	1500.556223
356	1499.623759
357	1498.933583
358	1498.544919
359	1496.734046
360	1495.153201
361	1494.433913
362	1493.948637
363	1492.744838
364	1492.276422
365	1490.290917
366	1488.643214
367	1488.13464
368	1487.412033
369	1486.959622
370	1485.430052
371	1484.199614
372	1483.401477
373	1482.376334
374	1481.568823
375	1480.767444
376	1480.204802
377	1479.453051
378	1478.103657
379	1477.157267
380	1476.661014
381	1475.511089
382	1474.961406
383	1474.141932
384	1473.115209
385	1472.221648
386	1471.255783
387	1469.881787
388	1469.311069
389	1467.457226
390	1466.583904
391	1465.746643
392	1464.804
393	1463.969446
394	1463.408292
395	1462.687509
396	1461.342036
397	1460.40443
398	1460.08174
399	1459.681037
400	1458.317534
401	1458.1066
402	1457.707762
403	1456.433773
404	1454.902274
405	1454.350615
406	1454.093029
407	1453.582805
408	1453.348887
409	1452.294013
410	1451.514012
411	1450.383969
412	1449.342224
413	1448.973816
414	1448.14568
415	1447.921182
416	1447.025942
417	1446.358244
418	1445.651543
419	1445.402649
420	1444.996829
421	1443.932806
422	1442.714379
423	1441.914055
424	1441.196684
425	1440.549182
426	1439.847712
427	1439.360097
428	1438.367983
429	1437.005988
430	1435.983615
431	1435.836439
432	1434.32535
433	1432.898427
434	1431.966488
435	1431.351279
436	1430.952563
437	1430.642542
438	1430.249694
439	1429.928886
440	1429.128737
441	1428.615538
442	1428.168121
443	1427.160601
444	1426.78604
445	1425.796475
446	1424.83109
447	1423.805119
448	1423.152667
449	1422.609681
450	1422.375883
451	1421.461511
452	1420.652727
453	1419.847191
454	1419.668792
455	1418.804273
456	1418.598482
457	1418.202198
458	1417.426558
459	1417.284884
460	1416.875602
461	1416.098334
462	1415.230584
463	1414.684851
464	1414.254386
465	1413.15291
466	1412.613951
467	1412.403037
468	1412.272539
469	1411.816075
470	1410.903548
471	1410.470734
472	1409.410834
473	1408.359936
474	1408.02982
475	1407.635417
476	1406.838263
477	1406.51853
478	1405.841071
479	1405.507071
480	1404.819548
481	1404.269194
482	1404.097614
483	1403.184895
484	1402.752724
485	1402.464438
486	1402.347104
487	1401.290071
488	1400.863346
489	1400.456585
490	1399.764326
491	1399.183001
492	1397.843663
493	1396.839096
494	1396.319834
495	1395.694029
496	1395.320702
497	1395.130922
498	1394.453963
499	1394.366123
500	1393.478268
501	1392.648053
502	1392.399478
503	1391.639706
504	1391.279253
505	1391.135997
506	1390.281484
507	1389.898762
508	1389.511819
509	1388.561822
510	1388.003754
511	1387.760025
512	1386.895108
513	1385.701621
514	1384.250823
515	1384.059639
516	1382.626672
517	1382.344672
518	1382.222154
519	1381.908544
520	1381.786843
521	1380.902603
522	1380.723276
523	1380.410484
524	1379.834221
525	1379.602971
526	1378.822822
527	1378.012604
528	1377.92505
529	1377.485563
530	1376.401504
531	1375.558046
532	1374.851898
533	1374.513436
534	1374.319333
535	1374.234693
536	1373.349225
537	1372.662803
538	1371.817815
539	1371.531907
540	1371.453358
541	1370.558893
542	1369.731868
543	1368.913204
544	1368.827836
545	1367.696799
546	1367.509572
547	1367.138274
548	1366.502283
549	1366.352337
550	1365.496078
551	1364.761277
552	1364.662668
553	1363.850092
554	1362.99109
555	1362.318639
556	1362.101195
557	1361.987165
558	1361.610279
559	1361.530688
560	1360.681451
561	1359.815362
562	1358.905651
563	1358.427799
564	1357.821899
565	1357.310063
566	1356.65174
567	1356.547306
568	1355.82236
569	1355.151707
570	1354.822057
571	1354.228688
572	1353.4312
573	1353.096971
574	1352.495085
575	1351.440599
576	1350.660735
577	1350.161577
578	1349.388406
579	1347.88614
580	1347.209321
581	1346.872713
582	1346.411134
583	1346.042194
584	1345.139582
585	1344.629423
586	1344.580854
587	1344.421075
588	1344.063096
589	1343.741987
590	1342.69808
591	1342.053485
592	1340.811453
593	1339.441945
594	1338.808908
595	1337.84766
596	1337.132419
597	1336.867523
598	1336.676115
599	1336.423888
600	1336.189666
601	1336.050211
602	1335.231994
603	1334.866716
604	1333.855106
605	1332.754861
606	1332.020967
607	1331.007163
608	1330.589767
609	1329.901041
610	1329.843973
611	1329.135696
612	1328.849415
613	1328.597945
614	1328.30274
615	1327.483495
616	1327.16239
617	1326.445202
618	1325.812726
619	1325.437656
620	1324.434517
621	1323.655411
622	1323.39222
623	1322.685128
624	1322.216311
625	1322.182925
626	1321.457062
627	1321.054123
628	1320.528629
629	1319.475397
630	1318.753584
631	1318.705422
632	1318.01159
633	1317.663929
634	1317.584461
635	1317.330086
636	1317.116706
637	1316.700566
638	1316.13921
639	1315.001092
640	1314.832396
641	1313.856011
642	1313.837688
643	1313.487078
644	1312.878298
645	1312.503395
646	1312.451879
647	1311.447026
648	1310.730531
649	1309.80106
650	1308.464963
651	1308.448167
652	1307.800773
653	1306.9869
654	1306.182572
655	1305.086763
656	1304.614569
657	1303.728176
658	1303.509281
659	1303.45699
660	1302.923363
661	1302.091411
662	1301.268083
663	1301.055308
664	1300.398859
665	1299.723833
666	1299.139736
667	1298.896945
668	1298.527167
669	1297.960247
670	1297.235273
671	1296.686172
672	1296.543662
673	1296.017415
674	1295.20038
675	1294.285807
676	1294.035151
677	1293.37979
678	1292.824085
679	1292.014896
680	1291.954691
681	1291.64602
682	1291.030627
683	1290.389036
684	1289.59585
685	1289.229438
686	1289.195683
687	1288.393105
688	1287.763792
689	1287.286049
690	1286.653684
691	1286.421946
692	1285.746424
693	1285.360829
694	1284.557465
695	1284.273975
696	1283.920547
697	1283.548293
698	1283.406247
699	1282.788874
